publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p860077,,2016-11-14T05:29:27.367Z,2016-11-14T05:32:32.192Z,173.7775564,-42.22397387,3.926165114,25.15625,M,,NonLinLoc,,automatic,nz3drx,40,40,27,0.2616980985,139.9946082,0.7877584429,0
2016p860074,,2016-11-14T05:27:56.384Z,2016-11-14T05:29:58.447Z,174.5552251,-39.14568913,2.870678534,24.6875,M,,NonLinLoc,,automatic,nz3drx,12,12,10,0.3376173199,183.0960381,0.9577279819,0
2016p860073,earthquake,2016-11-14T05:27:05.756Z,2016-11-14T06:27:26.575Z,173.6494141,-42.4913559,4.014445366,6.391386032,M,,LOCSAT,confirmed,manual,iasp91,46,35,27,0.1111536548,144.1452065,1.072782386,0
2016p860068,,2016-11-14T05:24:24.685Z,2016-11-14T05:27:45.021Z,174.2416736,-41.76620221,3.639849647,13.671875,M,,NonLinLoc,,automatic,nz3drx,57,57,42,0.02563440718,128.6743891,1.568162836,0
2016p860065,,2016-11-14T05:23:05.797Z,2016-11-14T05:25:34.949Z,172.7410622,-42.77639928,3.72293449,24.6875,M,,NonLinLoc,,automatic,nz3drx,20,20,13,0.2880345457,91.50093135,1.264239728,0
2016p860063,,2016-11-14T05:21:58.742Z,2016-11-14T05:24:31.174Z,175.8949342,-39.4315856,2.623710385,5.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.2432314948,220.6426627,1.232938272,0
2016p860062,,2016-11-14T05:21:14.754Z,2016-11-14T05:24:28.982Z,174.3835308,-41.74784239,3.838150392,21.40625,M,,NonLinLoc,,automatic,nz3drx,61,61,37,0.3795551782,148.6321626,1.736954705,0
2016p860061,,2016-11-14T05:20:50.918Z,2016-11-14T05:23:11.513Z,173.4321821,-42.54769075,3.754603027,27.03125,M,,NonLinLoc,,automatic,nz3drx,21,21,13,0.1538126978,152.4525662,0.7969443763,0
2016p860058,,2016-11-14T05:19:22.345Z,2016-11-14T05:21:18.311Z,173.1364055,-42.51908828,3.570304477,16.71875,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.4544407528,148.1307831,0.302408401,0
2016p860053,earthquake,2016-11-14T05:16:31.747Z,2016-11-14T06:48:03.782Z,173.4865677,-42.44412951,4.966027996,35.9375,M,,NonLinLoc,confirmed,manual,nz3drx,43,31,24,0.6203598516,136.0842437,1.129041538,0
2016p860049,,2016-11-14T05:14:37.856Z,2016-11-14T05:16:57.868Z,173.8195269,-42.07502289,2.913969038,19.53125,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.3612382359,146.7225293,1.126022957,0
2016p860047,,2016-11-14T05:13:04.516Z,2016-11-14T05:15:22.555Z,174.3018463,-41.88224072,3.186827849,27.03125,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.1460566241,163.9491499,0.8594549822,0
2016p860044,,2016-11-14T05:11:43.061Z,2016-11-14T05:15:12.897Z,174.3367205,-41.72978706,3.756649331,17.65625,M,,NonLinLoc,,automatic,nz3drx,64,64,47,0.09421184762,144.1264247,1.703635975,0
2016p860042,,2016-11-14T05:10:24.418Z,2016-11-14T05:12:35.500Z,173.7379366,-42.39635991,3.227716008,14.84375,M,,NonLinLoc,,automatic,nz3drx,13,13,10,0.1483157192,191.1786394,0.754130512,0
2016p860040,,2016-11-14T05:09:41.916Z,2016-11-14T05:11:49.223Z,174.3413153,-41.65652103,2.57461393,12.03125,M,,NonLinLoc,,automatic,nz3drx,14,14,11,0.1347783511,135.6309553,0.600249893,0
2016p860036,,2016-11-14T05:07:31.235Z,2016-11-14T05:10:17.243Z,174.0744693,-41.82886801,2.857987486,21.40625,M,,NonLinLoc,,automatic,nz3drx,20,20,11,0.1309349898,156.1767406,0.4640938886,0
2016p860033,,2016-11-14T05:06:01.245Z,2016-11-14T05:08:24.824Z,175.7679601,-39.24933954,1.228598326,17.1875,M,,NonLinLoc,,automatic,nz3drx,17,17,8,0.1144219927,79.5156152,0.7395553259,0
2016p860031,,2016-11-14T05:04:57.364Z,2016-11-14T05:08:22.744Z,174.1037663,-42.25015741,3.388157028,27.03125,M,,NonLinLoc,,automatic,nz3drx,40,40,27,0.45063151,153.0510747,1.476455043,0
2016p860024,earthquake,2016-11-14T05:01:10.703Z,2016-11-14T07:20:52.427Z,174.0695739,-42.22914126,4.030672483,21.40625,M,,NonLinLoc,confirmed,manual,nz3drx,20,11,8,0.4360274804,172.4014908,1.767187129,0
2016p860022,,2016-11-14T04:59:52.795Z,2016-11-14T05:02:43.783Z,174.3979466,-41.69154794,3.647887129,10.15625,M,,NonLinLoc,,automatic,nz3drx,23,23,14,0.1502917281,167.4518979,1.200006472,0
2016p860020,,2016-11-14T04:59:03.228Z,2016-11-14T05:02:41.673Z,174.2907203,-41.83186789,3.592140284,22.34375,M,,NonLinLoc,,automatic,nz3drx,34,34,23,0.09860267098,146.6579387,2.215209612,0
2016p860011,,2016-11-14T04:54:06.146Z,2016-11-14T04:57:25.591Z,174.2566707,-42.06109026,3.746116981,10.15625,M,,NonLinLoc,,automatic,nz3drx,69,69,50,0.3115262895,149.5625822,2.338323971,0
2016p860010,,2016-11-14T04:53:39.370Z,2016-11-14T04:55:47.115Z,174.0129963,-41.78535532,3.536031224,13.4375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.1225302544,167.2565844,0.8148178178,0
2016p860009,,2016-11-14T04:52:49.381Z,2016-11-14T04:55:04.708Z,173.5311407,-42.40036541,2.984243131,12.03125,M,,NonLinLoc,,automatic,nz3drx,14,14,11,0.01663950056,139.0137946,0.528833739,0
2016p860007,,2016-11-14T04:51:42.570Z,2016-11-14T04:54:08.550Z,173.5597865,-42.53303193,3.020781735,5.9375,M,,NonLinLoc,,automatic,nz3drx,24,24,16,0.1179127435,160.6315735,3.029003259,0
2016p860004,,2016-11-14T04:50:19.580Z,2016-11-14T04:52:54.171Z,173.7358165,-42.29117303,3.02806667,5.9375,M,,NonLinLoc,,automatic,nz3drx,19,19,13,0.1923415262,158.6898789,1.782130231,0
2016p860000,,2016-11-14T04:48:19.509Z,2016-11-14T04:50:36.401Z,177.2210782,-37.4007004,2.529095292,35.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1238193736,271.6262663,1.182010222,0
2016p859999,,2016-11-14T04:47:54.247Z,2016-11-14T04:51:23.522Z,173.7433527,-42.00605285,3.199358712,58.90625,M,,NonLinLoc,,automatic,nz3drx,40,40,25,0.3066795587,127.4931016,1.416413214,0
2016p859992,,2016-11-14T04:44:18.543Z,2016-11-14T04:46:44.173Z,173.1525497,-42.72151813,3.395007661,32.1875,M,,NonLinLoc,,automatic,nz3drx,20,20,12,0.260589278,130.0745983,1.360221678,0
2016p859988,earthquake,2016-11-14T04:41:57.302Z,2016-11-14T04:47:58.901Z,174.1631794,-41.71218145,3.566073245,13.203125,M,,NonLinLoc,confirmed,manual,nz3drx,27,23,19,0.05367372048,130.9811406,0.5410772924,0
2016p859983,,2016-11-14T04:39:09.142Z,2016-11-14T04:41:06.561Z,174.6717033,-41.11246421,2.266533528,28.90625,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.1865385078,135.3788143,0.3527560129,0
2016p859979,,2016-11-14T04:37:10.333Z,2016-11-14T04:39:25.078Z,174.2102133,-41.68686933,3.009406951,15.078125,M,,NonLinLoc,,automatic,nz3drx,25,25,19,0.06384724611,96.69198433,0.7388507013,0
2016p859972,,2016-11-14T04:33:23.325Z,2016-11-14T04:36:27.305Z,174.6528216,-40.4230262,3.548636169,49.0625,M,,NonLinLoc,,automatic,nz3drx,43,43,31,0.7182475949,127.2427816,1.93466381,0
2016p859971,,2016-11-14T04:32:41.700Z,2016-11-14T04:36:23.307Z,174.2156299,-42.00317017,4.313115665,20.46875,M,,NonLinLoc,,automatic,nz3drx,41,41,29,0.3798618721,151.6449937,2.024928621,0
2016p859968,,2016-11-14T04:30:56.549Z,2016-11-14T04:33:51.299Z,173.6801468,-41.69883276,3.595743665,29.375,M,,NonLinLoc,,automatic,nz3drx,15,15,13,0.582258432,206.701126,1.081476815,0
2016p859967,,2016-11-14T04:30:29.408Z,2016-11-14T04:32:59.544Z,174.1015803,-41.69035249,3.349037607,5.234375,M,,NonLinLoc,,automatic,nz3drx,19,19,13,0.1026793266,82.01392876,1.53409503,0
2016p859958,,2016-11-14T04:25:39.085Z,2016-11-14T04:28:00.204Z,173.0231915,-42.55920444,3.501138345,10.15625,M,,NonLinLoc,,automatic,nz3drx,16,16,12,0.4067977266,109.4102846,1.123835138,0
2016p859951,,2016-11-14T04:22:24.764Z,2016-11-14T04:28:31.176Z,173.4639729,-42.7371936,3.793089902,49.0625,M,,NonLinLoc,,automatic,nz3drx,53,53,37,0.326174293,145.3838193,2.399243357,0
2016p859945,,2016-11-14T04:18:54.291Z,2016-11-14T04:22:02.124Z,173.0342823,-42.60459418,3.249739126,26.5625,M,,NonLinLoc,,automatic,nz3drx,27,27,18,0.3627348359,116.7811929,1.538703843,0
2016p859940,earthquake,2016-11-14T04:15:52.837Z,2016-11-14T04:23:13.903Z,174.2117314,-41.78033868,3.938589598,20.703125,M,,NonLinLoc,confirmed,manual,nz3drx,45,29,22,0.02970785371,141.4544422,0.6798359927,0
2016p859939,,2016-11-14T04:15:29.954Z,2016-11-14T04:17:50.163Z,175.848133,-39.42349646,2.502169878,7.34375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.1764364402,93.18650696,0.5635182037,0
2016p859937,,2016-11-14T04:14:30.969Z,2016-11-14T04:17:48.325Z,173.5986766,-42.48576515,4.072106214,24.21875,M,,NonLinLoc,,automatic,nz3drx,30,30,20,0.08223413586,165.5614934,1.518098189,0
2016p859935,,2016-11-14T04:13:40.547Z,2016-11-14T04:15:51.630Z,174.3662465,-41.71814214,3.390566712,9.921875,M,,NonLinLoc,,automatic,nz3drx,25,25,15,0.1186311021,144.1492042,0.7957662442,0
2016p859930,,2016-11-14T04:11:24.134Z,2016-11-14T04:16:22.405Z,176.2162031,-39.08295325,3.504870579,9.6875,M,,NonLinLoc,,automatic,nz3drx,25,25,18,0.4469858277,176.3167924,1.512069677,0
2016p859928,earthquake,2016-11-14T04:10:21.872Z,2016-11-14T04:39:36.103Z,173.5978,-42.14030594,4.900460575,24.6875,M,,NonLinLoc,confirmed,manual,nz3drx,16,10,8,0.4730724853,160.780051,0.6499327721,0
